cuisine,month,order_count,total_revenue,avg_revenue
Chinese,2026-01-01,1,1477,1477
Chinese,2026-01-04,1,1870,1870
Chinese,2026-01-05,1,1635,1635
Chinese,2026-01-08,1,1130,1130
Chinese,2026-01-09,1,1867,1867
Chinese,2026-01-13,1,1126,1126
Chinese,2026-01-15,2,2439,1219.5
Chinese,2026-01-17,2,4193,2096.5
Chinese,2026-01-18,1,1281,1281
Chinese,2026-01-19,1,394,394
Chinese,2026-01-20,1,2460,2460
Chinese,2026-01-24,1,1766,1766
Chinese,2026-01-26,1,1654,1654
Chinese,2026-01-30,1,1291,1291
Chinese,2026-02-02,3,3914,1304.666667
Chinese,2026-02-04,1,1233,1233
Chinese,2026-02-06,1,965,965
Chinese,2026-02-07,2,874,437
Chinese,2026-02-11,1,1424,1424
Chinese,2026-02-15,1,1838,1838
Chinese,2026-02-19,2,3314,1657
Chinese,2026-02-23,1,1172,1172
Chinese,2026-02-24,1,2012,2012
Chinese,2026-02-25,1,1690,1690
Chinese,2026-02-26,1,1514,1514
Chinese,2026-02-27,1,431,431
Chinese,2026-03-01,1,2038,2038
Chinese,2026-03-02,2,2283,1141.5
Chinese,2026-03-03,1,574,574
Chinese,2026-03-04,1,504,504
Chinese,2026-03-06,1,363,363
Chinese,2026-03-07,1,1335,1335
Chinese,2026-03-11,2,1963,981.5
Chinese,2026-03-12,1,2396,2396
Chinese,2026-03-17,2,4483,2241.5
Chinese,2026-03-20,1,1221,1221
Chinese,2026-03-21,1,1478,1478
Chinese,2026-03-23,1,1140,1140
Chinese,2026-03-29,1,495,495
Chinese,2026-04-01,1,2008,2008
Chinese,2026-04-06,1,1308,1308
Chinese,2026-04-07,1,472,472
Chinese,2026-04-13,1,685,685
Chinese,2026-04-15,2,2297,1148.5
Chinese,2026-04-16,1,2179,2179
Chinese,2026-04-17,2,1424,712
Chinese,2026-04-19,1,605,605
Chinese,2026-04-21,2,1276,638
Chinese,2026-04-23,1,2269,2269
Chinese,2026-04-26,1,2213,2213
Chinese,2026-04-30,1,1959,1959
Chinese,2026-05-02,2,4410,2205
Chinese,2026-05-03,1,1143,1143
Chinese,2026-05-09,1,1266,1266
Chinese,2026-05-13,1,660,660
Chinese,2026-05-16,1,2238,2238
Chinese,2026-05-17,1,1904,1904
Chinese,2026-05-20,2,1898,949
Chinese,2026-05-26,1,1158,1158
Chinese,2026-06-02,2,3622,1811
Chinese,2026-06-04,1,1233,1233
Chinese,2026-06-05,2,2682,1341
Chinese,2026-06-06,1,1454,1454
Chinese,2026-06-12,1,2033,2033
Chinese,2026-06-14,2,4107,2053.5
Chinese,2026-06-15,1,780,780
Chinese,2026-06-17,2,2866,1433
Chinese,2026-06-20,1,1413,1413
Chinese,2026-06-21,1,650,650
Chinese,2026-06-24,2,4228,2114
Chinese,2026-06-25,1,2092,2092
Chinese,2026-06-30,1,2071,2071
Desserts,2026-01-14,1,2117,2117
Desserts,2026-01-21,1,1913,1913
Desserts,2026-01-25,1,1676,1676
Desserts,2026-02-04,2,3274,1637
Desserts,2026-02-14,1,679,679
Desserts,2026-03-12,1,330,330
Desserts,2026-03-20,1,2479,2479
Desserts,2026-05-01,1,252,252
Desserts,2026-05-27,1,1806,1806
Desserts,2026-05-30,1,1785,1785
Desserts,2026-05-31,1,1790,1790
Desserts,2026-06-05,1,1593,1593
